"event_id","country","date","date_precision","category","title","description","actors","source_url","source_type","status","supersedes_event_id"
"indian-space-policy-released-2023","India","2023-04-20","day","regulatory","Formal Publication of Indian Space Policy 2023","The Department of Space publicly released the official text of the Indian Space Policy 2023. The policy codifies the role of ISRO as an R&D agency, NSIL as commercial aggregator, and IN-SPACe as an autonomous regulator and promoter for NGEs.","Department of Space, IN-SPACe, ISRO","https://www.isro.gov.in/media_isro/pdf/IndianSpacePolicy2023.pdf","official_gazette","enacted",""
"artemis-accords-india-2023","India","2023-06-23","day","regulatory","India Signs the Artemis Accords","Prime Minister Narendra Modi signed the Artemis Accords during a state visit to Washington D.C., making India the 27th signatory. The signing aligns India with multilateral norms for peaceful civil space exploration and lunar commercial governance.","Government of India, NASA, US Department of State","https://pib.gov.in/PressReleasePage.aspx?PRID=1934988","press_release","enacted",""
"inspace-ngp-guidelines-2023","India","2023-10-04","day","regulatory","Release of IN-SPACe Norms Guidelines and Procedures NGP","IN-SPACe published comprehensive Norms Guidelines and Procedures (NGP) detailing eligibility, application workflows, liability requirements, and safety norms for NGE authorizations across satellites, ground stations, and launch systems.","IN-SPACe","https://www.inspace.gov.in/inspace?id=inspace_ngp","official_gazette","enacted",""
"fdi-policy-space-cabinet-2024","India","2024-02-21","day","regulatory","Cabinet Approval of Liberalized FDI Policy for Space","The Union Cabinet approved key amendments to the Foreign Direct Investment (FDI) Policy for the space sector, creating clear entry routes: 74% automatic for satellite manufacturing, 49% automatic for launch vehicles, and 100% automatic for satellite components.","Union Cabinet, DPIIT, Department of Space","https://pib.gov.in/PressReleasePage.aspx?PRID=2007817","press_release","enacted",""
"fdi-policy-fema-notification-2024","India","2024-04-16","day","regulatory","Notification of Amended FEMA FDI Rules for Space","The Ministry of Finance notified Press Note 1 of 2024 under Foreign Exchange Management (Non-debt Instruments) Rules, operationalizing 100% FDI caps and sub-sector automatic clearance thresholds effective April 16, 2024.","Ministry of Finance, Reserve Bank of India, DPIIT","https://egazette.gov.in/WriteReadData/2024/253723.pdf","official_gazette","enacted","fdi-policy-space-cabinet-2024"
"agnikul-agnibaan-launch-2024","India","2024-05-30","day","launch_milestone","Successful Sub-Orbital Test of Agnikul Agnibaan SOrTeD","Agnikul Cosmos conducted the successful maiden flight of its Agnibaan SOrTeD launch vehicle from its private launchpad at Sriharikota. The flight successfully flight-tested India's first single-piece 3D-printed semi-cryogenic engine.","Agnikul Cosmos, IN-SPACe, ISRO","https://pib.gov.in/PressReleasePage.aspx?PRID=2022437","press_release","enacted",""
"inspace-dhruva-gsaas-auth-2024","India","2024-07-15","day","authorization","Authorization of Ground Station as a Service GSaaS","IN-SPACe granted commercial authorization to Dhruva Space to establish and operate ground stations for Telemetry, Tracking, and Command (TTC) services, expanding private space infrastructure authorization types.","IN-SPACe, Dhruva Space","https://pib.gov.in/PressReleasePage.aspx?PRID=2033410","press_release","enacted",""
"inspace-vc-fund-approved-2024","India","2024-10-23","day","funding","Cabinet Approves 1000 Crore Venture Capital Fund for Space","The Union Cabinet approved a dedicated 1000 Crore Venture Capital Fund under the aegis of IN-SPACe. The fund aims to catalyze private space startups by providing capital across early-stage and growth-stage funding rounds over five years.","Union Cabinet, IN-SPACe, Department of Space","https://pib.gov.in/PressReleasePage.aspx?PRID=2067272","press_release","enacted",""
"pixxel-national-eo-constellation-2026","India","2026-01-21","day","authorization","IN-SPACe Authorization for Privately Led EO Constellation","IN-SPACe executed a formal agreement authorizing a Pixxel-led consortium of Indian firms (including Dhruva Space and SatSure) to design, build, and operate India's first privately-built national Earth Observation constellation.","IN-SPACe, Pixxel, Dhruva Space, SatSure","https://pib.gov.in/PressReleasePage.aspx?PRID=2098721","press_release","enacted",""
"skyroot-vikram-1-aagaman-2026","India","2026-07-02","day","launch_milestone","Orbital Launch Authorization and Mission Aagaman","IN-SPACe authorized Skyroot Aerospace's maiden orbital flight of the Vikram-1 rocket under Mission Aagaman, deploying commercial small satellites into low Earth orbit and establishing operational orbital authorization protocols.","Skyroot Aerospace, IN-SPACe, ISRO","https://pib.gov.in/PressReleasePage.aspx?PRID=2114205","press_release","enacted",""
"us-csla-1984","USA","1984-10-30","day","regulatory","Enactment of Commercial Space Launch Act of 1984","The US Congress enacted the Commercial Space Launch Act (CSLA) to promote, facilitate, and regulate commercial space launch operations. The law designated the Department of Transportation (later transferred to FAA/AST) as the primary launch licensing authority.","US Congress, Federal Aviation Administration (FAA/AST)","https://www.congress.gov/bill/98th-congress/house-bill/3942","official_gazette","enacted",""
"us-cslca-2015","USA","2015-11-25","day","regulatory","Enactment of US Commercial Space Launch Competitiveness Act","US Congress enacted Public Law 114-90 (HR 2262), granting US citizens explicit statutory rights to commercially explore, extract, and own space resources. The act also extended learning periods for commercial human spaceflight safety regulations.","US Congress, Executive Office of the President","https://www.congress.gov/bill/114th-congress/house-bill/2262","official_gazette","enacted",""
"us-spd-1-2017","USA","2017-12-11","day","regulatory","Issuance of Space Policy Directive-1","President Donald Trump signed Space Policy Directive-1, instructing NASA to lead an innovative lunar exploration program in partnership with commercial entities and international allies, laying the groundwork for the Artemis Program.","Executive Office of the President, NASA","https://www.federalregister.gov/documents/2017/12/14/2017-27025/white-house-space-policy-directive-1","official_gazette","enacted",""
"us-artemis-accords-2020","USA","2020-10-13","day","regulatory","Establishment of the Artemis Accords","NASA and the US Department of State, along with 7 founding international partner nations, unveiled the Artemis Accords. The framework establishes non-binding principles for civil space exploration, resource extraction, and deconfliction zones.","NASA, US Department of State","https://www.nasa.gov/artemisaccords","press_release","enacted",""
"us-faa-part-450-2020","USA","2020-12-10","day","regulatory","FAA Streamlined Launch and Reentry Licensing Rules Part 450","The Federal Aviation Administration published 14 CFR Part 450, consolidating legacy launch licensing rules into a single performance-based regulatory framework for commercial launch and reentry operations.","Federal Aviation Administration (FAA/AST)","https://www.federalregister.gov/documents/2020/12/10/2020-22042/streamlined-launch-and-reentry-licensing-requirements","official_gazette","enacted",""
"lux-space-initiative-2016","Luxembourg","2016-02-03","day","institutional","Launch of SpaceResources.lu Initiative","The Ministry of the Economy of Luxembourg launched the SpaceResources.lu initiative, creating a strategic public framework to attract commercial space resource exploration firms through capital co-investments and legal clarity.","Luxembourg Ministry of the Economy","https://space-agency.public.lu/en/news-media/news/2016/SpaceResources_initiativ.html","press_release","enacted",""
"lux-space-resources-law-2017","Luxembourg","2017-07-20","day","regulatory","Passage of Luxembourg Space Resources Law","Luxembourg Parliament passed the Law on the Exploration and Use of Space Resources, becoming the first nation in Europe to explicitly affirm that space resources are capable of being owned by commercial entities registered in Luxembourg.","Luxembourg Parliament, Ministry of the Economy","https://legilux.public.lu/eli/etat/leg/loi/2017/07/20/a674/jo","official_gazette","enacted",""
"lux-space-agency-created-2018","Luxembourg","2018-09-12","day","institutional","Formal Creation of Luxembourg Space Agency","Luxembourg established the Luxembourg Space Agency (LSA) to accelerate business development, administer national space economic development funds, and supervise commercial licensing under national space laws.","Luxembourg Ministry of the Economy, LSA","https://space-agency.public.lu/en/news-media/news/2018/LSA_creation.html","press_release","enacted",""
"lux-artemis-accords-2020","Luxembourg","2020-10-13","day","regulatory","Luxembourg Joins Artemis Accords as Founding Signatory","Luxembourg signed the Artemis Accords as one of eight original founding countries, cementing multilateral support for transparent commercial space resource exploitation.","Luxembourg Ministry of the Economy, LSA, NASA","https://space-agency.public.lu/en/news-media/news/2020/Artemis_Accords.html","press_release","enacted",""
"uae-space-agency-2014","UAE","2014-07-16","day","institutional","Establishment of the UAE Space Agency","The UAE President issued a Federal Decree-Law establishing the UAE Space Agency to develop national space infrastructure, regulate commercial satellites, and lead the Emirates Mars Mission (Hope Probe).","UAE Cabinet, UAE Space Agency","https://space.gov.ae/page/about-agency","official_gazette","enacted",""
"uae-national-space-policy-2016","UAE","2016-11-06","day","regulatory","Approval of UAE National Space Policy","The UAE Cabinet approved the National Space Policy to provide strategic guidance for commercial space investments, spectrum allocation, and scientific space exploration.","UAE Cabinet, UAE Space Agency","https://space.gov.ae/page/policy-and-regulations","press_release","enacted",""
"uae-space-law-2019","UAE","2019-12-19","day","regulatory","Enactment of UAE Federal Space Law No 12 of 2019","The UAE enacted Federal Law No. 12 of 2019 regarding the regulation of the space sector, creating a single-window licensing system, operator liability rules, space mining rights, and foreign ownership guidelines.","UAE President, UAE Space Agency","https://space.gov.ae/page/regulations","official_gazette","enacted",""
"uae-artemis-accords-2020","UAE","2020-10-13","day","regulatory","UAE Joins Artemis Accords as Founding Signatory","The UAE Space Agency signed the Artemis Accords as a founding international partner, advancing cooperation in deep space exploration, lunar logistics, and interoperability.","UAE Space Agency, NASA","https://space.gov.ae/page/news-and-events","press_release","enacted",""
"uae-space-permits-regulations-2021","UAE","2021-05-18","day","regulatory","Issuance of Space Activity Permitting Regulations","The UAE Space Agency published comprehensive executive regulations governing authorization processes for launch operations, satellite telecommunications, orbit allocations, and space safety protocols.","UAE Space Agency","https://space.gov.ae/page/regulations","official_gazette","enacted",""
